question_idx,chinese,pinyin,syllables,audio,correct_tone,user_answer,is_correct,time_seconds,timestamp
5,面包,miànbāo,2,08_面包_41.wav,41,41,True,16.35,2026-01-27 16:20:15
6,狗,gǒu,1,09_狗_3.wav,3,3,True,16.52,2026-01-27 16:20:33
1,心,xīn,1,02_心_1.wav,1,1,True,220.3,2026-01-28 16:10:29
2,问题,wèntí,2,09_问题_42.wav,42,43,False,138.21,2026-01-28 16:12:49
3,老,lǎo,1,07_老_3.wav,3,3,True,45.02,2026-01-28 16:13:35
4,白,bái,1,06_白_2.wav,2,1,False,39.55,2026-01-28 16:14:16
5,美国,měiguó,2,07_美国_32.wav,32,42,False,40.21,2026-01-28 16:14:58
6,牛奶,niúnǎi,2,04_牛奶_23.wav,23,23,True,38.92,2026-01-28 16:15:38
1,学校,xuéxiào,2,05_学校_24.wav,24,24,True,34.52,2026-01-28 17:27:10
2,电脑,diànnǎo,2,10_电脑_43.wav,43,14,False,16.6,2026-01-28 17:27:28
3,心,xīn,1,02_心_1.wav,1,1,True,8.37,2026-01-28 17:27:40
4,车,chē,1,03_车_1.wav,1,21,False,13.28,2026-01-28 17:27:55
5,明天,míngtiān,2,03_明天_21.wav,21,21,True,9.02,2026-01-28 17:28:06
6,白,bái,1,06_白_2.wav,2,2,True,9.29,2026-01-28 17:28:16
1,中国,zhōngguó,2,01_中国_12.wav,12,13,False,41.25,2026-01-29 12:26:31
2,明天,míngtiān,2,03_明天_21.wav,21,21,True,11.87,2026-01-29 12:26:50
3,老师,lǎoshī,2,06_老师_31.wav,31,31,True,12.89,2026-01-29 12:27:06
4,心,xīn,1,02_心_1.wav,1,1,True,9.27,2026-01-29 12:27:19
5,学,xué,1,04_学_2.wav,2,2,True,9.94,2026-01-29 12:27:33
6,白,bái,1,06_白_2.wav,2,2,True,16.63,2026-01-29 12:27:52
1,老师,lǎoshī,2,06_老师_31.wav,31,31,True,48.19,2026-01-29 14:02:34
2,叫,jiào,1,10_叫_4.wav,4,4,True,16.87,2026-01-29 14:02:52
3,火,huǒ,1,08_火_3.wav,3,42,False,29.35,2026-01-29 14:03:23
4,学校,xuéxiào,2,05_学校_24.wav,24,24,True,23.58,2026-01-29 14:03:50
