question_idx,chinese,pinyin,syllables,audio,correct_tone,user_answer,is_correct,time_seconds,timestamp
5,牛奶,niúnǎi,2,04_牛奶_23.wav,23,21,False,3.78,2026-01-27 16:30:43
6,去,qù,1,12_去_4.wav,4,1,False,5.59,2026-01-27 16:31:09
1,中国,zhōngguó,2,01_中国_12.wav,12,12,True,74.36,2026-01-28 15:51:03
2,心,xīn,1,02_心_1.wav,1,2,False,73.91,2026-01-28 15:52:52
3,牛奶,niúnǎi,2,04_牛奶_23.wav,23,23,True,4.92,2026-01-28 15:53:39
4,叫,jiào,1,10_叫_4.wav,4,1,False,5.5,2026-01-28 15:54:52
5,面包,miànbāo,2,08_面包_41.wav,41,41,True,4.9,2026-01-28 15:55:52
6,骂,mà,1,11_骂_4.wav,4,4,True,6.83,2026-01-28 15:56:28
1,牛奶,niúnǎi,2,04_牛奶_23.wav,23,34,False,17.6,2026-01-28 17:14:05
2,去,qù,1,12_去_4.wav,4,3,False,20.2,2026-01-28 17:14:40
3,中国,zhōngguó,2,01_中国_12.wav,12,12,True,18.09,2026-01-28 17:15:31
4,学校,xuéxiào,2,05_学校_24.wav,24,21,False,20.64,2026-01-28 17:15:57
5,人,rén,1,05_人_2.wav,2,3,False,15.5,2026-01-28 17:16:19
6,车,chē,1,03_车_1.wav,1,1,True,7.86,2026-01-28 17:16:35
1,美国,měiguó,2,07_美国_32.wav,32,2,False,4.55,2026-01-29 12:21:49
2,电脑,diànnǎo,2,10_电脑_43.wav,43,12,False,7.83,2026-01-29 12:22:06
3,面包,miànbāo,2,08_面包_41.wav,41,41,True,14.51,2026-01-29 12:23:03
4,白,bái,1,06_白_2.wav,2,4,False,8.05,2026-01-29 12:23:26
5,学,xué,1,04_学_2.wav,2,2,True,3.97,2026-01-29 12:24:00
6,火,huǒ,1,08_火_3.wav,3,2,False,3.77,2026-01-29 12:24:41
1,学,xué,1,04_学_2.wav,2,2,True,11.45,2026-01-29 14:07:03
2,心,xīn,1,02_心_1.wav,1,4,False,15.14,2026-01-29 14:07:30
3,狗,gǒu,1,09_狗_3.wav,3,3,True,14.5,2026-01-29 14:07:54
4,电脑,diànnǎo,2,10_电脑_43.wav,43,12,False,24.43,2026-01-29 14:08:36
5,明天,míngtiān,2,03_明天_21.wav,21,21,True,13.09,2026-01-29 14:09:12
6,商店,shāngdiàn,2,02_商店_14.wav,14,14,True,11.03,2026-01-29 14:09:37
1,学,xué,1,04_学_2.wav,2,1,False,5.22,2026-01-29 14:34:43
2,学校,xuéxiào,2,05_学校_24.wav,24,4,False,18.93,2026-01-29 14:35:24
3,面包,miànbāo,2,08_面包_41.wav,41,3,False,8.99,2026-01-29 14:36:13
4,火,huǒ,1,08_火_3.wav,3,3,True,7.15,2026-01-29 14:37:22
5,狗,gǒu,1,09_狗_3.wav,3,4,False,12.22,2026-01-29 14:38:38
6,美国,měiguó,2,07_美国_32.wav,32,12,False,7.13,2026-01-29 14:39:25
1,电脑,diànnǎo,2,10_电脑_43.wav,43,4,False,10.02,2026-01-29 15:58:19
2,学,xué,1,04_学_2.wav,2,3,False,1.57,2026-01-29 15:58:52
3,叫,jiào,1,10_叫_4.wav,4,12,False,5.78,2026-01-29 15:59:25
4,明天,míngtiān,2,03_明天_21.wav,21,3,False,8.68,2026-01-29 15:59:49
5,商店,shāngdiàn,2,02_商店_14.wav,14,34,False,19.61,2026-01-29 16:00:20
6,心,xīn,1,02_心_1.wav,1,1,True,12.29,2026-01-29 16:00:45
1,白,bái,1,06_白_2.wav,2,1,False,14.51,2026-01-29 16:19:07
2,老师,lǎoshī,2,06_老师_31.wav,31,12,False,4.87,2026-01-29 16:20:03
3,中国,zhōngguó,2,01_中国_12.wav,12,12,True,1.86,2026-01-29 16:20:50
4,商店,shāngdiàn,2,02_商店_14.wav,14,13,False,5.11,2026-01-29 16:21:23
5,狗,gǒu,1,09_狗_3.wav,3,13,False,4.48,2026-01-29 16:21:41
6,骂,mà,1,11_骂_4.wav,4,1,False,4.43,2026-01-29 16:21:59
1,心,xīn,1,02_心_1.wav,1,13,False,17.77,2026-01-29 16:50:31
2,天,tiān,1,01_天_1.wav,1,2,False,5.78,2026-01-29 16:51:18
3,电脑,diànnǎo,2,10_电脑_43.wav,43,1,False,4.21,2026-01-29 16:52:24
4,美国,měiguó,2,07_美国_32.wav,32,3,False,8.86,2026-01-29 16:52:47
5,学,xué,1,04_学_2.wav,2,23,False,7.12,2026-01-29 16:53:23
6,中国,zhōngguó,2,01_中国_12.wav,12,14,False,1.24,2026-01-29 16:54:22
1,老,lǎo,1,07_老_3.wav,3,3,True,15.82,2026-01-30 10:34:57
2,电脑,diànnǎo,2,10_电脑_43.wav,43,14,False,17.83,2026-01-30 10:35:43
3,去,qù,1,12_去_4.wav,4,1,False,7.6,2026-01-30 10:36:10
4,天,tiān,1,01_天_1.wav,1,1,True,16.45,2026-01-30 10:36:47
5,明天,míngtiān,2,03_明天_21.wav,21,24,False,10.26,2026-01-30 10:37:06
6,问题,wèntí,2,09_问题_42.wav,42,3,False,1.76,2026-01-30 10:37:33
1,白,bái,1,06_白_2.wav,2,4,False,13.45,2026-01-30 16:19:36
2,电脑,diànnǎo,2,10_电脑_43.wav,43,1,False,7.48,2026-01-30 16:20:10
3,老,lǎo,1,07_老_3.wav,3,4,False,18.92,2026-01-30 16:20:40
4,问题,wèntí,2,09_问题_42.wav,42,14,False,14.49,2026-01-30 16:21:32
5,牛奶,niúnǎi,2,04_牛奶_23.wav,23,3,False,8.83,2026-01-30 16:21:57
6,天,tiān,1,01_天_1.wav,1,4,False,8.24,2026-01-30 16:22:16
1,老,lǎo,1,07_老_3.wav,3,2,False,13.14,2026-01-31 11:38:28
2,学校,xuéxiào,2,05_学校_24.wav,24,14,False,17.3,2026-01-31 11:39:49
3,老师,lǎoshī,2,06_老师_31.wav,31,41,False,15.18,2026-01-31 11:41:40
4,人,rén,1,05_人_2.wav,2,4,False,12.44,2026-01-31 11:44:48
5,问题,wèntí,2,09_问题_42.wav,42,43,False,18.36,2026-01-31 11:46:16
6,去,qù,1,12_去_4.wav,4,1,False,27.4,2026-01-31 11:47:45
1,人,rén,1,05_人_2.wav,2,4,False,27.82,2026-01-31 17:30:59
2,学校,xuéxiào,2,05_学校_24.wav,24,13,False,135.23,2026-01-31 17:34:45
3,问题,wèntí,2,09_问题_42.wav,42,42,True,22.4,2026-01-31 17:36:21
4,老师,lǎoshī,2,06_老师_31.wav,31,24,False,25.91,2026-01-31 17:37:53
5,老,lǎo,1,07_老_3.wav,3,3,True,17.07,2026-01-31 17:38:49
6,心,xīn,1,02_心_1.wav,1,4,False,20.74,2026-01-31 17:40:05
1,狗,gǒu,1,09_狗_3.wav,3,34,False,11.87,2026-01-31 19:02:41
2,明天,míngtiān,2,03_明天_21.wav,21,43,False,14.23,2026-01-31 19:03:48
3,叫,jiào,1,10_叫_4.wav,4,4,True,8.23,2026-01-31 19:04:16
4,学,xué,1,04_学_2.wav,2,4,False,9.39,2026-01-31 19:05:21
5,中国,zhōngguó,2,01_中国_12.wav,12,31,False,16.54,2026-01-31 19:06:57
6,电脑,diànnǎo,2,10_电脑_43.wav,43,23,False,9.13,2026-01-31 19:08:00
1,面包,miànbāo,2,08_面包_41.wav,41,21,False,4.15,2026-02-01 10:30:42
2,骂,mà,1,11_骂_4.wav,4,1,False,7.54,2026-02-01 10:31:49
3,电脑,diànnǎo,2,10_电脑_43.wav,43,34,False,6.1,2026-02-01 10:32:41
4,中国,zhōngguó,2,01_中国_12.wav,12,31,False,5.04,2026-02-01 10:33:26
5,学,xué,1,04_学_2.wav,2,3,False,6.1,2026-02-01 10:34:06
6,天,tiān,1,01_天_1.wav,1,3,False,5.41,2026-02-01 10:34:28
